Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Praça da Bandeira;2;0;0;60;2200.0;603.0;216.0
Barra da Tijuca;2;1;0;64;2200.0;1012.0;0.0
Méier;2;1;0;68;1200.0;650.0;0.0
Penha;2;0;0;55;1000.0;307.0;27.0
Andaraí;2;0;0;54;1250.0;518.0;0.0
Taquara;2;1;0;46;1100.0;488.0;14.0
Humaitá;2;0;0;54;2400.0;900.0;25.0
Barra da Tijuca;2;0;0;65;2500.0;1200.0;120.0
Higienópolis;2;0;0;52;800.0;200.0;0.0
Tijuca;2;1;0;53;1300.0;544.0;0.0
Recreio dos Bandeirantes;2;1;0;65;1600.0;557.0;147.0
Senador Vasconcelos;2;1;1;60;850.0;180.0;0.0
Freguesia (Jacarepaguá);2;1;0;60;1300.0;426.0;0.0
Engenho Novo;2;0;0;46;800.0;410.0;17.0
Freguesia (Jacarepaguá);2;1;0;60;1350.0;440.0;15.0
Rio Comprido;2;1;0;60;1250.0;585.0;0.0
Taquara;2;1;0;58;1100.0;260.0;13.0
Botafogo;2;1;1;68;2800.0;778.0;125.0
Centro;2;0;0;65;2600.0;600.0;20.0
Praça Seca;2;1;1;61;1100.0;446.0;0.0
Cachambi;2;1;1;65;740.0;540.0;35.0
Campo Grande;3;0;0;50;1000.0;302.0;0.0
Rio Comprido;2;1;1;55;1700.0;485.0;0.0
Curicica;2;1;2;61;1000.0;689.0;0.0
Praça Seca;2;1;0;60;1000.0;395.0;0.0
Vila Isabel;2;1;0;60;1500.0;870.0;23.0
Taquara;2;0;0;52;900.0;508.0;14.0
Laranjeiras;2;1;0;69;1900.0;1100.0;953.0
Andaraí;2;1;0;59;1300.0;462.0;64.0
Copacabana;2;1;0;43;2500.0;630.0;115.0
Botafogo;2;0;0;60;2300.0;465.0;75.0
Engenho Novo;2;1;0;52;1100.0;414.0;0.0
Vila Kosmos;2;1;0;63;1000.0;324.0;0.0
Vigário Geral;2;1;0;49;700.0;90.0;0.0
Engenho de Dentro;2;1;0;60;980.0;500.0;20.0
Estácio;2;1;0;65;1500.0;800.0;0.0
Campo Grande;2;1;0;50;750.0;260.0;0.0
Camorim;2;2;1;68;1700.0;750.0;70.0
Rio Comprido;2;1;1;50;1550.0;388.0;367.0
Guaratiba;2;1;0;51;600.0;224.0;0.0
Copacabana;2;0;0;62;1600.0;1200.0;30.0
Flamengo;2;0;0;65;2400.0;578.0;128.0
Vicente de Carvalho;2;0;0;56;750.0;90.0;0.0
Barra da Tijuca;2;1;2;68;2800.0;1190.0;227.0
Cachambi;2;0;0;65;850.0;360.0;36.0
Cachambi;2;1;0;60;1400.0;280.0;125.0
Copacabana;2;0;0;49;2500.0;566.0;92.0
Vila Isabel;2;0;0;64;1100.0;531.0;21.0
Del Castilho;2;1;1;52;1150.0;481.0;0.0
Curicica;2;1;2;60;1400.0;550.0;0.0
Ipanema;2;0;0;60;2500.0;848.0;0.0
Copacabana;2;0;0;52;1900.0;800.0;320.0
Leme;2;0;0;60;2650.0;740.0;79.0
Pechincha;2;1;0;63;800.0;456.0;36.0
Jacarepaguá;3;1;1;64;1800.0;750.0;50.0
Tanque;2;1;0;56;900.0;589.0;14.0
Madureira;2;0;0;42;650.0;373.0;0.0
Tijuca;2;1;0;62;2100.0;510.0;0.0
Jacarepaguá;2;1;1;68;2350.0;543.0;15.0
Tanque;2;1;1;60;1100.0;660.0;41.0
Praça da Bandeira;3;0;0;68;1500.0;515.0;48.0
Curicica;2;1;0;49;1000.0;150.0;0.0
Maracanã;2;0;0;40;800.0;176.0;81.0
Freguesia (Jacarepaguá);2;1;0;55;800.0;570.0;162.0
Copacabana;2;0;0;69;2400.0;847.0;116.0
Barra da Tijuca;2;1;1;63;2200.0;1800.0;0.0
Catumbi;2;1;0;53;650.0;502.0;0.0
Rio Comprido;2;1;1;52;1500.0;520.0;0.0
São Francisco Xavier;2;0;0;58;1000.0;190.0;0.0
Cosmos;2;1;0;42;800.0;260.0;0.0
Campo Grande;2;1;0;55;600.0;196.0;0.0
Engenho Novo;2;1;1;68;700.0;765.0;14.0
Pavuna;2;0;0;50;650.0;350.0;0.0
Penha;2;0;0;65;1000.0;142.0;0.0
Grajaú;2;0;0;64;1100.0;613.0;0.0
Vila Isabel;2;2;0;62;1500.0;775.0;50.0
Lins de Vasconcelos;2;1;0;69;1200.0;494.0;117.0
Tijuca;2;0;0;69;1200.0;530.0;80.0
Tijuca;2;0;0;69;1600.0;200.0;20.0
Méier;3;0;0;57;1300.0;365.0;16.0
Lagoa;2;1;0;58;2500.0;1472.0;0.0
Del Castilho;2;1;1;54;1250.0;420.0;0.0
Méier;2;0;0;40;950.0;297.0;14.0
Recreio dos Bandeirantes;2;1;1;67;1600.0;750.0;112.0
Maracanã;2;1;0;60;1600.0;472.0;0.0
Botafogo;2;1;0;45;2200.0;425.0;30.0
Engenho Novo;2;1;0;66;1200.0;610.0;35.0
Recreio dos Bandeirantes;2;1;1;67;1600.0;750.0;112.0
Cascadura;2;1;1;60;1300.0;590.0;40.0
Freguesia (Jacarepaguá);2;1;1;65;1200.0;550.0;100.0
Santa Teresa;2;0;1;65;2500.0;850.0;130.0
Engenho de Dentro;2;1;0;46;800.0;503.0;135.0
Freguesia (Jacarepaguá);2;1;0;55;800.0;307.0;14.0
Campo Grande;2;1;1;58;600.0;300.0;0.0
Engenho Novo;2;2;0;59;1100.0;273.0;0.0
Tijuca;2;0;0;66;1900.0;500.0;82.0
Campinho;2;1;0;45;850.0;250.0;0.0
Cachambi;2;1;0;65;1000.0;800.0;15.0
Freguesia (Jacarepaguá);2;1;0;56;970.0;506.0;13.0
Bonsucesso;2;0;0;60;1100.0;270.0;0.0
Vila Isabel;2;1;0;58;1300.0;590.0;20.0
Tijuca;2;1;0;61;1400.0;471.0;50.0
Tijuca;3;1;1;68;2400.0;1015.0;1152.0
Penha;2;1;0;60;800.0;280.0;0.0
Curicica;2;1;0;63;1100.0;400.0;20.0
Humaitá;2;0;0;67;2600.0;628.0;101.0
São Cristóvão;2;1;0;46;1350.0;373.0;0.0
Barra da Tijuca;2;1;1;68;2300.0;790.0;166.0
Pechincha;2;1;0;56;1200.0;306.0;0.0
Botafogo;2;1;0;68;2600.0;680.0;0.0
Campo Grande;2;1;0;45;600.0;246.0;0.0
Barra da Tijuca;2;1;1;69;2400.0;1105.0;130.0
Campo Grande;2;1;0;46;650.0;306.0;0.0
Leblon;2;0;0;53;2250.0;730.0;165.0
Copacabana;2;0;0;45;2800.0;450.0;30.0
Freguesia (Jacarepaguá);2;1;1;65;1100.0;786.0;0.0
Laranjeiras;2;0;0;56;1600.0;890.0;97.0
Barra da Tijuca;2;1;0;58;1400.0;625.0;114.0
Copacabana;2;0;1;63;1900.0;707.0;126.0
Recreio dos Bandeirantes;2;1;1;64;2200.0;520.0;0.0
Tijuca;2;0;0;67;1300.0;420.0;0.0
Irajá;2;1;0;53;1200.0;240.0;0.0
Jacarepaguá;3;1;1;65;1200.0;700.0;0.0
Todos os Santos;2;1;0;60;1100.0;180.0;0.0
Jardim Guanabara;2;1;0;55;1900.0;386.0;0.0
Maracanã;2;0;0;62;1450.0;560.0;0.0
Engenho Novo;2;0;2;55;800.0;340.0;24.0
Lins de Vasconcelos;2;1;1;51;900.0;600.0;350.0
Cachambi;3;1;0;57;1200.0;450.0;39.0
Tijuca;2;1;0;69;2000.0;502.0;0.0
Campo Grande;2;0;0;65;700.0;220.0;0.0
Lapa;2;0;0;55;2400.0;540.0;21.0
Barra da Tijuca;2;1;0;60;1200.0;710.0;105.0
Campo Grande;2;1;0;47;1000.0;247.0;0.0
Cachambi;2;1;1;50;1600.0;325.0;0.0
Recreio dos Bandeirantes;2;1;1;65;1600.0;600.0;120.0
Barra da Tijuca;2;1;0;53;1500.0;700.0;0.0
Campo Grande;2;1;0;65;700.0;260.0;0.0
Barra da Tijuca;2;1;0;60;1200.0;629.0;0.0
Del Castilho;2;1;0;52;1400.0;500.0;0.0
Cocotá;2;0;0;60;950.0;200.0;0.0
Recreio dos Bandeirantes;2;1;0;60;1900.0;700.0;15.0
Lagoa;2;1;1;59;2800.0;1850.0;6850.0
Engenho de Dentro;2;1;1;65;1100.0;480.0;125.0
Inhaúma;2;0;0;60;1000.0;220.0;0.0
Taquara;2;1;1;54;1000.0;472.0;62.0
Tijuca;2;0;0;61;1600.0;600.0;0.0
Botafogo;2;1;1;59;2600.0;780.0;128.0
Curicica;2;1;2;53;1300.0;672.0;31.0
Grajaú;2;1;0;69;1500.0;450.0;0.0
Pechincha;2;1;1;53;1200.0;472.0;41.0
Honório Gurgel;2;1;0;50;600.0;217.0;0.0
Flamengo;2;0;0;57;1900.0;760.0;0.0
Barra da Tijuca;2;1;1;63;2200.0;1388.0;0.0
Vargem Pequena;3;1;0;60;950.0;390.0;40.0
Barra da Tijuca;2;1;0;47;1200.0;625.0;96.0
Tijuca;2;2;0;54;1900.0;910.0;50.0
Recreio dos Bandeirantes;2;0;1;59;1500.0;780.0;95.0
Cachambi;2;1;1;60;1100.0;426.0;50.0
Cachambi;2;1;0;58;1100.0;490.0;39.0
Freguesia (Jacarepaguá);2;1;0;65;1650.0;569.0;481.0
Recreio dos Bandeirantes;2;1;1;68;1200.0;706.0;103.0
Campo Grande;2;0;0;50;650.0;300.0;0.0
Engenho de Dentro;2;1;1;60;1500.0;500.0;150.0
Flamengo;2;0;1;65;2500.0;700.0;35.0
Del Castilho;2;1;1;50;1600.0;400.0;28.0
Todos os Santos;2;1;1;50;1500.0;450.0;39.0
Pechincha;2;1;0;48;1100.0;360.0;135.0
Ipanema;2;0;0;65;2500.0;900.0;184.0
Jardim Guanabara;2;1;0;65;1250.0;650.0;0.0
Lapa;2;0;0;50;1800.0;350.0;0.0
Barra da Tijuca;2;1;0;58;1200.0;700.0;0.0
Engenho Novo;2;1;1;60;1200.0;600.0;0.0
Méier;2;0;0;62;1100.0;500.0;37.0
Cachambi;2;0;0;56;1200.0;330.0;0.0
Jacarepaguá;2;1;1;60;1400.0;600.0;0.0
Braz de Pina;2;0;0;45;990.0;374.0;0.0
Tijuca;2;0;0;48;1300.0;446.0;0.0
São Cristóvão;2;0;0;47;1300.0;410.0;1350.0
Tijuca;2;0;0;62;1500.0;576.0;62.0
Praça Seca;2;1;1;64;1100.0;504.0;0.0
Olaria;2;0;0;66;780.0;344.0;0.0
Barra da Tijuca;2;1;0;55;1250.0;500.0;14.0
Copacabana;2;0;0;58;2400.0;450.0;0.0
São Cristóvão;2;1;1;55;1800.0;548.0;0.0
Todos os Santos;2;1;1;52;1100.0;420.0;140.0
Barra da Tijuca;2;1;2;67;1600.0;1220.0;90.0
Barra da Tijuca;2;1;1;66;2000.0;1100.0;168.0
Rio Comprido;2;1;0;60;1500.0;950.0;320.0
Flamengo;2;0;0;66;2400.0;753.0;0.0
Engenho de Dentro;2;1;0;50;1100.0;483.0;17.0
Freguesia (Jacarepaguá);2;1;1;68;1500.0;680.0;85.0
Barra da Tijuca;2;1;1;65;1700.0;700.0;100.0
Barra da Tijuca;2;1;1;69;2500.0;950.0;200.0
São Cristóvão;2;1;1;55;1400.0;550.0;50.0
Jacarepaguá;2;0;1;53;1300.0;547.0;0.0
Madureira;2;1;0;60;950.0;200.0;0.0
Jacarepaguá;2;1;0;47;1800.0;360.0;0.0
Laranjeiras;2;0;0;67;2500.0;762.0;93.0
Pechincha;2;1;1;65;1100.0;755.0;0.0
Zumbi;2;1;0;64;1600.0;500.0;60.0
Tijuca;2;1;0;66;1700.0;659.0;103.0
Catete;2;1;1;65;2700.0;862.0;110.0
Tanque;2;0;0;57;850.0;643.0;0.0
Pavuna;2;0;0;50;530.0;300.0;0.0
Água Santa;3;0;0;55;1000.0;715.0;0.0
São Cristóvão;2;1;1;69;1900.0;550.0;150.0
Flamengo;2;1;0;65;2200.0;960.0;85.0
Honório Gurgel;2;0;0;50;700.0;220.0;0.0
Jacarepaguá;2;1;1;65;2500.0;665.0;50.0
Vila Isabel;2;1;0;55;2000.0;600.0;60.0
Pechincha;2;1;1;60;1100.0;480.0;180.0
Campo Grande;2;0;0;53;700.0;300.0;30.0
Cachambi;2;1;0;58;1100.0;350.0;0.0
Cachambi;2;0;0;54;850.0;360.0;0.0
Itanhangá;2;0;0;53;1100.0;745.0;0.0
Santa Teresa;2;0;0;66;1600.0;300.0;52.0
Anil;2;1;0;50;1700.0;470.0;30.0
Tijuca;2;0;0;60;1800.0;604.0;0.0
Engenho de Dentro;2;0;0;51;900.0;515.0;114.0
Santíssimo;2;1;0;40;700.0;250.0;0.0
Freguesia (Jacarepaguá);2;0;0;46;1000.0;290.0;13.0
Vila da Penha;2;0;0;54;700.0;435.0;0.0
Vargem Pequena;2;1;1;60;1300.0;360.0;40.0
Pechincha;2;1;0;59;1000.0;400.0;350.0
Engenho Novo;2;0;0;50;900.0;250.0;0.0
Recreio dos Bandeirantes;2;1;1;68;2000.0;593.0;75.0
Campo Grande;2;1;0;50;750.0;230.0;0.0
Tijuca;2;0;0;52;1400.0;740.0;202.0
Grajaú;2;0;0;60;1300.0;600.0;0.0
Vila da Penha;2;0;0;60;1310.0;180.0;35.0
Vila Isabel;2;1;1;50;900.0;870.0;47.0
Quintino Bocaiúva;2;0;0;60;1000.0;70.0;0.0
Méier;2;1;0;60;1000.0;580.0;150.0
Irajá;2;0;0;50;750.0;213.0;0.0
Barra da Tijuca;2;2;2;69;2000.0;1275.0;1203.0
Campo Grande;2;1;0;60;700.0;360.0;0.0
Catete;2;0;0;69;1900.0;578.0;138.0
Botafogo;2;1;1;67;2400.0;930.0;150.0
Cachambi;2;1;0;60;1200.0;300.0;0.0
Barra da Tijuca;2;1;0;58;1250.0;676.0;0.0
Campo Grande;2;1;0;48;700.0;320.0;0.0
Oswaldo Cruz;3;0;0;65;1350.0;305.0;0.0
Penha;2;1;1;56;1500.0;438.0;0.0
Itanhangá;2;1;0;60;950.0;550.0;0.0
Irajá;2;1;0;44;750.0;110.0;0.0
Freguesia (Jacarepaguá);2;1;0;69;1100.0;800.0;517.0
Jacarepaguá;2;1;0;48;800.0;572.0;0.0
Flamengo;2;0;0;68;2500.0;870.0;102.0
Camorim;3;1;1;65;1350.0;560.0;700.0
Andaraí;3;1;2;66;800.0;620.0;25.0
Anil;3;1;0;65;850.0;430.0;0.0
São Cristóvão;2;1;0;50;990.0;375.0;15.0
Freguesia (Jacarepaguá);2;1;1;57;1500.0;606.0;77.0
Recreio dos Bandeirantes;2;1;1;69;2300.0;550.0;1400.0
Curicica;2;1;0;44;1100.0;395.0;162.0
Engenho da Rainha;2;1;0;52;700.0;576.0;0.0
Rocha Miranda;2;1;0;55;1100.0;220.0;0.0
Madureira;2;0;0;53;900.0;250.0;0.0
Campo Grande;2;1;0;58;700.0;130.0;0.0
Jacarepaguá;2;1;0;55;1000.0;480.0;52.0
Bonsucesso;2;0;0;57;1100.0;450.0;0.0
Centro;2;0;0;47;1200.0;515.0;50.0
Vila Isabel;2;0;0;63;1250.0;224.0;48.0
Campo Grande;2;1;0;50;730.0;220.0;0.0
Taquara;2;1;0;55;900.0;514.0;39.0
São Cristóvão;2;1;1;60;1350.0;630.0;38.0
Padre Miguel;2;1;0;61;800.0;435.0;0.0
Humaitá;2;0;0;65;2300.0;650.0;122.0
Curicica;2;1;0;59;1400.0;510.0;13.0
Catete;2;1;1;64;2800.0;575.0;184.0
Pavuna;2;1;0;44;600.0;363.0;0.0
Freguesia (Jacarepaguá);2;1;0;60;1350.0;440.0;15.0
Senador Vasconcelos;2;1;0;65;650.0;220.0;0.0
Anil;2;0;0;40;650.0;18.0;8.0
Guaratiba;2;1;0;45;600.0;301.0;0.0
Vila da Penha;2;1;0;47;1800.0;604.0;0.0
Riachuelo;2;2;1;63;1300.0;350.0;63.0
Bento Ribeiro;2;1;0;56;700.0;544.0;0.0
Cachambi;2;1;1;51;1300.0;413.0;0.0
Quintino Bocaiúva;2;0;1;65;850.0;160.0;0.0
Copacabana;2;1;0;45;1600.0;630.0;120.0
Humaitá;2;1;0;64;2600.0;1030.0;191.0
Barra da Tijuca;2;1;0;52;1100.0;640.0;102.0
Freguesia (Jacarepaguá);2;1;0;55;1000.0;330.0;37.0
Tijuca;2;0;1;61;1500.0;515.0;63.0
Freguesia (Jacarepaguá);2;1;1;67;1600.0;700.0;0.0
Encantado;2;1;0;60;1100.0;455.0;36.0
Vila Kosmos;2;1;0;63;1300.0;400.0;0.0
São Francisco Xavier;2;1;1;64;1200.0;642.0;55.0
Barra da Tijuca;2;1;0;58;1800.0;698.0;0.0
Andaraí;2;0;0;65;1400.0;495.0;0.0
Copacabana;2;0;0;60;1700.0;1315.0;0.0
Taquara;2;1;0;60;1300.0;500.0;50.0
Cascadura;2;1;0;58;800.0;235.0;0.0
Tijuca;2;0;0;60;1100.0;625.0;485.0
Méier;2;0;1;59;1500.0;680.0;14.0
Realengo;2;1;0;50;800.0;605.0;0.0
Campo Grande;3;0;0;52;800.0;300.0;0.0
Méier;2;0;0;49;900.0;400.0;13.0
Barra da Tijuca;2;1;2;65;2500.0;1400.0;0.0
Penha;2;1;1;56;1200.0;500.0;30.0
Curicica;2;1;0;50;1400.0;490.0;140.0
Campo Grande;3;0;0;60;800.0;230.0;0.0
Copacabana;2;0;1;60;2400.0;730.0;0.0
Anil;2;1;0;48;1700.0;470.0;30.0
Recreio dos Bandeirantes;2;1;1;65;1900.0;775.0;0.0
Méier;2;0;0;69;1200.0;518.0;0.0
Freguesia (Jacarepaguá);2;1;0;60;900.0;400.0;0.0
Recreio dos Bandeirantes;2;1;1;62;1700.0;915.0;145.0
Campo Grande;3;0;0;58;800.0;270.0;0.0
Pechincha;2;0;0;51;1200.0;650.0;60.0
Engenho da Rainha;2;1;0;55;1000.0;560.0;0.0
Méier;2;0;0;64;1100.0;685.0;0.0
Barra da Tijuca;2;2;0;60;1400.0;790.0;0.0
Engenho Novo;2;1;0;60;1000.0;400.0;0.0
Riachuelo;2;1;0;54;800.0;575.0;14.0
Urca;2;0;0;65;2700.0;715.0;126.0
Méier;2;0;0;46;800.0;150.0;16.0
Engenho Novo;2;1;1;65;1200.0;500.0;39.0
Santa Teresa;2;0;0;60;1500.0;412.0;0.0
Campo Grande;2;0;0;55;800.0;60.0;0.0
Vaz Lobo;2;0;0;65;600.0;350.0;1.0
Bonsucesso;2;0;0;64;1000.0;415.0;0.0
Jardim Guanabara;2;1;0;65;1300.0;540.0;0.0
Botafogo;3;0;0;65;2500.0;645.0;126.0
Engenho de Dentro;2;1;0;65;1100.0;410.0;150.0
Taquara;2;1;0;62;900.0;260.0;0.0
Méier;2;1;0;60;1000.0;480.0;230.0
Recreio dos Bandeirantes;2;1;1;68;1900.0;850.0;870.0
Vila Isabel;2;1;0;45;1500.0;760.0;22.0
Jardim Guanabara;2;1;0;65;1800.0;500.0;20.0
Quintino Bocaiúva;2;0;0;45;700.0;129.0;78.0
Recreio dos Bandeirantes;2;1;2;65;1300.0;796.0;143.0
Barra da Tijuca;2;1;1;65;2200.0;1170.0;130.0
Laranjeiras;2;1;1;60;1800.0;1150.0;132.0
Laranjeiras;2;1;0;65;1700.0;1250.0;240.0
Tijuca;2;0;0;66;1300.0;645.0;25.0
Barra da Tijuca;2;1;1;64;2800.0;950.0;140.0
Curicica;2;1;0;62;1100.0;550.0;50.0
Pechincha;2;1;0;50;1200.0;425.0;150.0
Grajaú;2;0;0;65;1200.0;540.0;0.0
Anil;2;1;0;60;1200.0;470.0;0.0
Recreio dos Bandeirantes;2;1;1;65;1600.0;600.0;120.0
Copacabana;2;0;0;60;2200.0;680.0;78.0
Taquara;2;1;1;60;1600.0;450.0;0.0
Freguesia (Jacarepaguá);2;1;0;65;1200.0;650.0;76.0
Riachuelo;2;1;0;60;1200.0;350.0;126.0
Portuguesa;3;1;0;62;1200.0;380.0;12.0
Barra da Tijuca;2;1;0;51;1300.0;470.0;40.0
Santa Teresa;2;0;0;33;1200.0;379.0;135.0
Vila Valqueire;2;1;0;63;1500.0;455.0;0.0
Barra da Tijuca;2;1;1;65;2200.0;670.0;0.0
Jardim Guanabara;2;1;0;56;1500.0;360.0;0.0
Irajá;2;0;0;50;800.0;100.0;0.0
Ipanema;2;0;0;50;2900.0;586.0;130.0
Laranjeiras;2;0;0;65;1500.0;500.0;25.0
Copacabana;2;0;0;62;2500.0;709.0;97.0
Gávea;2;1;0;63;2800.0;678.0;138.0
Cachambi;2;1;0;60;900.0;550.0;0.0
Botafogo;2;0;0;64;2400.0;690.0;75.0
Campo Grande;2;1;0;65;700.0;240.0;0.0
Tijuca;2;0;0;60;1450.0;250.0;47.0
Jardim Guanabara;2;1;0;56;1000.0;363.0;20.0
Botafogo;2;1;1;60;2500.0;1100.0;160.0
Recreio dos Bandeirantes;2;1;1;62;1550.0;829.0;0.0
Leme;2;1;0;41;2100.0;420.0;0.0
Campo Grande;2;1;0;50;850.0;370.0;0.0
Andaraí;2;0;0;50;1500.0;100.0;0.0
Tijuca;2;0;0;61;1200.0;500.0;0.0
Rocha;2;1;1;60;900.0;590.0;0.0
Recreio dos Bandeirantes;2;1;1;64;1750.0;660.0;0.0
Ilha do Governador;2;1;0;65;1200.0;285.0;60.0
Copacabana;2;0;0;60;2600.0;500.0;0.0
Freguesia (Jacarepaguá);2;0;1;62;1200.0;200.0;416.0
Botafogo;2;1;1;62;2200.0;730.0;131.0
Curicica;2;1;1;55;2500.0;500.0;0.0
Laranjeiras;2;0;0;60;2300.0;712.0;90.0
Copacabana;2;0;0;60;2000.0;590.0;0.0
Botafogo;2;0;0;44;2000.0;386.0;25.0
Andaraí;2;1;0;57;1300.0;402.0;49.0
Itanhangá;2;0;0;55;950.0;490.0;28.0
Copacabana;2;0;1;60;2950.0;700.0;140.0
Freguesia (Jacarepaguá);2;1;0;48;1200.0;492.0;15.0
Itanhangá;2;1;0;60;950.0;522.0;80.0
Jacarepaguá;2;1;0;46;900.0;280.0;0.0
Taquara;2;1;0;50;900.0;450.0;14.0
Gardênia Azul;2;1;0;50;1700.0;470.0;0.0
Taquara;2;0;0;41;900.0;230.0;0.0
Recreio dos Bandeirantes;2;1;1;65;1600.0;550.0;0.0
Vila Isabel;2;0;0;50;1300.0;300.0;24.0
Centro;2;0;0;65;2690.0;530.0;21.0
Taquara;2;0;0;50;900.0;451.0;0.0
Tijuca;2;1;0;60;1550.0;550.0;51.0
Centro;2;0;0;65;1600.0;400.0;0.0
Cachambi;3;1;0;60;1400.0;660.0;37.0
Jacarepaguá;2;1;0;50;1800.0;520.0;18.0
Barra da Tijuca;2;1;0;60;2350.0;960.0;183.0
Santa Teresa;2;0;0;45;1700.0;445.0;0.0
Méier;2;0;0;67;1100.0;538.0;13.0
Realengo;2;0;0;60;550.0;247.0;0.0
Barra da Tijuca;2;1;1;68;1900.0;960.0;107.0
Piedade;2;1;0;50;1000.0;150.0;0.0
Leblon;2;0;0;68;2700.0;1050.0;187.0
Méier;2;0;0;55;1400.0;225.0;71.0
Laranjeiras;2;0;0;65;2100.0;817.0;28.0
Campo Grande;2;1;1;65;700.0;450.0;0.0
Recreio dos Bandeirantes;2;1;1;69;2400.0;950.0;118.0
Tijuca;2;1;0;68;2000.0;705.0;99.0
Barra da Tijuca;2;1;1;65;1300.0;900.0;0.0
Riachuelo;2;1;0;60;950.0;450.0;15.0
Del Castilho;2;1;1;51;1600.0;472.0;29.0
Pechincha;2;1;0;58;1250.0;445.0;58.0
Olaria;2;0;0;62;700.0;230.0;0.0
Barra da Tijuca;2;1;1;50;1700.0;484.0;38.0
São Cristóvão;2;0;0;60;1500.0;660.0;0.0
Tijuca;2;1;0;68;1300.0;822.0;0.0
Ipanema;2;1;0;67;2200.0;1600.0;148.0
Benfica;2;1;0;55;1000.0;283.0;13.0
Vicente de Carvalho;2;1;0;50;1100.0;300.0;0.0
Oswaldo Cruz;2;0;0;50;650.0;60.0;0.0
Grajaú;2;1;0;60;1500.0;407.0;47.0
Taquara;2;1;0;50;1000.0;400.0;135.0
Barra da Tijuca;2;1;1;63;2800.0;1320.0;145.0
São Cristóvão;2;0;0;62;1200.0;480.0;14.0
Tijuca;2;0;0;60;1700.0;487.0;49.0
Vista Alegre;2;0;0;60;880.0;100.0;0.0
Cachambi;2;1;1;62;1300.0;650.0;126.0
Itanhangá;2;0;0;56;900.0;648.0;27.0
Maracanã;2;1;0;65;1500.0;747.0;70.0
Senador Vasconcelos;2;1;0;56;650.0;260.0;0.0
Campo Grande;3;1;0;50;1100.0;300.0;0.0
Ipanema;2;0;0;56;2900.0;954.0;168.0
Freguesia (Jacarepaguá);2;1;0;59;1400.0;390.0;40.0
Recreio dos Bandeirantes;2;1;1;49;1800.0;650.0;0.0
Pechincha;2;0;0;60;800.0;240.0;0.0
Tijuca;2;0;0;60;900.0;456.0;20.0
Barra da Tijuca;2;1;0;60;1400.0;750.0;112.0
Praça Seca;2;1;1;66;950.0;640.0;74.0
Cachambi;2;0;0;60;900.0;130.0;14.0
Jacarepaguá;2;1;0;64;2100.0;650.0;416.0
Bangu;2;1;0;56;1000.0;370.0;0.0
Maracanã;2;0;0;62;1300.0;450.0;46.0
Freguesia (Jacarepaguá);2;1;0;62;900.0;575.0;14.0
Campo Grande;2;1;0;60;600.0;194.0;0.0
Copacabana;2;0;0;66;2500.0;911.0;0.0
Jacarepaguá;3;1;1;68;1300.0;617.0;0.0
Del Castilho;2;1;0;54;1800.0;432.0;0.0
Campo Grande;2;1;0;45;600.0;220.0;0.0
Flamengo;2;1;0;63;2000.0;805.0;91.0
Barra da Tijuca;2;1;1;65;2400.0;860.0;140.0
Pechincha;2;1;1;65;1700.0;650.0;590.0
Camorim;2;1;1;65;1200.0;630.0;0.0
Laranjeiras;2;0;0;60;2400.0;150.0;120.0
Irajá;2;1;0;58;1100.0;245.0;0.0
Vila Isabel;2;1;0;68;1400.0;550.0;50.0
Méier;2;0;0;45;1000.0;500.0;0.0
Rio Comprido;2;1;1;55;1200.0;716.0;0.0
Jacarepaguá;3;1;1;65;1800.0;785.0;79.0
Campo Grande;2;0;0;41;950.0;345.0;0.0
Tijuca;2;1;0;64;1150.0;695.0;60.0
Copacabana;2;0;0;65;2200.0;350.0;20.0
Laranjeiras;2;1;0;66;2100.0;900.0;93.0
Grajaú;2;0;0;47;1150.0;454.0;0.0
Barra da Tijuca;2;1;1;63;2100.0;1400.0;110.0
Todos os Santos;3;1;0;60;1400.0;280.0;35.0
Taquara;2;1;0;52;900.0;526.0;38.0
Barra da Tijuca;2;1;1;65;1500.0;944.0;112.0
Quintino Bocaiúva;3;1;0;54;1200.0;393.0;0.0
Campo Grande;2;1;0;45;900.0;305.0;0.0
Tomás Coelho;2;1;0;48;800.0;223.0;0.0
Laranjeiras;2;0;0;50;1400.0;410.0;29.0
Méier;2;1;0;65;1000.0;300.0;13.0
Jacarepaguá;2;1;0;48;1700.0;350.0;0.0
Vargem Grande;2;1;1;68;1200.0;332.0;27.0
Jacarepaguá;2;1;2;64;1700.0;1400.0;77.0
Recreio dos Bandeirantes;2;1;1;67;2100.0;760.0;100.0
Engenho Novo;2;1;0;67;700.0;551.0;35.0
Freguesia (Jacarepaguá);2;1;1;53;1300.0;580.0;0.0
Tijuca;2;0;0;61;1700.0;690.0;89.0
Vila Isabel;2;0;0;45;1500.0;178.0;12.0
Taquara;2;1;1;56;1300.0;360.0;60.0
Leme;2;0;0;50;2800.0;630.0;0.0
Campo Grande;2;1;0;60;590.0;413.0;0.0
Lagoa;2;0;0;68;2800.0;919.0;0.0
Freguesia (Jacarepaguá);2;1;0;55;1000.0;330.0;37.0
Vila Isabel;2;1;0;60;1200.0;550.0;76.0
Cachambi;2;1;0;57;1500.0;554.0;13.0
Grajaú;2;0;0;50;1150.0;454.0;0.0
