Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Méier;2;1;0;60;1500.0;550.0;13.0
Itanhangá;2;1;0;54;800.0;763.0;27.0
Centro;2;0;0;69;1600.0;352.0;438.0
Laranjeiras;2;0;0;54;1800.0;550.0;30.0
Engenho Novo;2;1;1;50;980.0;486.0;0.0
Grajaú;2;0;0;61;1600.0;312.0;51.0
Catumbi;2;1;0;46;1150.0;170.0;0.0
Laranjeiras;2;2;1;65;2448.0;1254.0;146.0
Barra da Tijuca;2;1;1;69;2500.0;1000.0;180.0
Barra da Tijuca;2;1;0;68;2800.0;1550.0;0.0
Vila da Penha;2;0;0;60;1300.0;300.0;0.0
Tijuca;2;0;0;65;1900.0;580.0;87.0
Pechincha;2;1;1;60;1000.0;480.0;0.0
Botafogo;2;0;0;60;2600.0;480.0;70.0
Cachambi;2;0;0;42;880.0;370.0;114.0
Méier;2;1;0;66;1000.0;660.0;39.0
Praça da Bandeira;3;1;0;68;1800.0;615.0;0.0
Jacarepaguá;2;1;1;65;1800.0;428.0;0.0
Barra da Tijuca;2;1;1;58;1150.0;700.0;91.0
Barra da Tijuca;2;1;1;60;2100.0;733.0;99.0
Barra da Tijuca;2;1;1;68;2200.0;780.0;100.0
Curicica;2;1;0;59;1200.0;510.0;13.0
Barra da Tijuca;2;2;1;66;1700.0;1326.0;0.0
Leblon;2;0;0;59;1900.0;522.0;0.0
Barra da Tijuca;3;1;2;66;1300.0;690.0;78.0
Irajá;2;0;0;48;600.0;200.0;0.0
Freguesia (Jacarepaguá);2;1;1;68;1800.0;700.0;106.0
Méier;2;0;0;50;1000.0;322.0;16.0
Vila Valqueire;2;1;1;62;1000.0;700.0;0.0
Ipanema;2;0;0;66;2600.0;830.0;195.0
Riachuelo;2;1;0;56;1600.0;394.0;16.0
Tomás Coelho;2;1;0;44;750.0;300.0;20.0
Barra da Tijuca;2;1;1;65;1500.0;1000.0;0.0
Praça da Bandeira;2;1;1;61;1400.0;741.0;0.0
Barra da Tijuca;2;2;1;65;1800.0;593.0;54.0
Vila da Penha;2;0;0;60;1200.0;253.0;0.0
Recreio dos Bandeirantes;2;1;1;69;1500.0;752.0;149.0
Recreio dos Bandeirantes;2;1;2;55;2000.0;1450.0;330.0
Rio Comprido;2;1;1;48;1600.0;524.0;12.0
Cascadura;2;0;0;50;850.0;140.0;0.0
Botafogo;2;1;0;65;2950.0;600.0;102.0
Anil;2;1;0;56;1100.0;355.0;162.0
Jacarepaguá;2;1;0;60;1000.0;590.0;20.0
Pechincha;2;1;0;50;600.0;330.0;14.0
Tijuca;2;1;0;66;2300.0;125.0;531.0
Anil;2;1;1;65;1500.0;367.0;0.0
Taquara;2;1;0;53;1000.0;400.0;16.0
Taquara;3;1;1;64;1200.0;590.0;546.0
Vargem Pequena;2;1;0;45;1100.0;360.0;40.0
Recreio dos Bandeirantes;2;1;1;68;1500.0;1025.0;112.0
Curicica;2;1;0;60;1500.0;350.0;0.0
Vila Isabel;2;1;0;69;1350.0;670.0;0.0
Barra da Tijuca;2;1;1;69;2650.0;1300.0;200.0
Taquara;2;1;0;50;850.0;450.0;12.0
Barra da Tijuca;2;1;1;69;1700.0;975.0;183.0
Leblon;2;0;0;66;2600.0;661.0;149.0
Copacabana;2;0;1;52;2800.0;800.0;50.0
São Cristóvão;2;1;1;55;1500.0;520.0;1.0
Maracanã;2;1;0;65;1600.0;668.0;0.0
Pavuna;2;1;0;45;800.0;266.0;0.0
Rio Comprido;2;0;0;67;1500.0;454.0;15.0
Freguesia (Jacarepaguá);2;1;0;52;1100.0;618.0;13.0
Anil;2;1;0;47;1600.0;430.0;126.0
Méier;2;1;0;61;1100.0;516.0;742.0
Copacabana;2;0;0;67;2100.0;820.0;153.0
Jacarepaguá;2;0;0;44;850.0;260.0;13.0
Tijuca;2;0;0;40;1100.0;742.0;20.0
Botafogo;2;0;0;52;1750.0;400.0;80.0
Santa Cruz;2;0;0;60;600.0;110.0;0.0
Vila Isabel;2;1;0;55;1400.0;665.0;48.0
Cachambi;2;1;0;63;900.0;555.0;0.0
Copacabana;2;1;0;69;2850.0;885.0;173.0
Tijuca;2;1;1;68;2400.0;1015.0;1152.0
Méier;2;1;1;66;1200.0;755.0;80.0
Praça Seca;3;1;0;57;550.0;274.0;13.0
Freguesia (Jacarepaguá);2;1;2;50;1900.0;830.0;155.0
Campo Grande;2;1;0;60;900.0;308.0;0.0
Camorim;2;1;0;50;900.0;350.0;16.0
Copacabana;2;0;0;67;2200.0;604.0;0.0
Barra da Tijuca;2;1;0;53;1400.0;673.0;0.0
Barra da Tijuca;2;1;1;69;2250.0;950.0;700.0
Méier;2;0;0;55;1250.0;502.0;14.0
Maracanã;2;0;0;60;1600.0;360.0;0.0
Cachambi;2;1;0;50;900.0;450.0;135.0
Tijuca;2;0;2;68;1600.0;606.0;62.0
Camorim;2;1;1;50;1000.0;420.0;30.0
Camorim;2;1;1;69;1300.0;766.0;0.0
Tijuca;2;1;0;67;1800.0;940.0;92.0
Jacarepaguá;3;1;1;63;2000.0;650.0;58.0
Santa Teresa;2;1;0;69;2000.0;711.0;0.0
Pilares;2;0;0;60;900.0;25.0;0.0
Méier;2;1;0;61;1500.0;475.0;75.0
Taquara;2;1;1;55;1300.0;585.0;507.0
Encantado;2;1;0;55;1000.0;519.0;17.0
Recreio dos Bandeirantes;2;1;1;68;1500.0;700.0;0.0
Barra da Tijuca;2;1;0;58;1300.0;765.0;0.0
Copacabana;2;1;0;65;2300.0;677.0;0.0
Taquara;2;1;0;50;1000.0;268.0;0.0
Glória;2;0;0;62;1300.0;495.0;0.0
Campo Grande;2;1;1;69;1195.0;450.0;20.0
Barra da Tijuca;2;1;1;69;2500.0;970.0;0.0
Engenho de Dentro;2;1;1;50;1100.0;516.0;0.0
Copacabana;2;0;0;58;1800.0;675.0;127.0
Vista Alegre;2;1;0;65;1400.0;180.0;0.0
Gávea;2;1;1;68;2800.0;850.0;110.0
Vila da Penha;2;0;0;68;1300.0;200.0;0.0
Tijuca;2;1;0;67;2000.0;760.0;0.0
Botafogo;2;1;2;60;2500.0;1100.0;160.0
Copacabana;2;0;0;54;2200.0;602.0;70.0
Camorim;2;1;0;55;800.0;370.0;16.0
Higienópolis;2;0;1;48;1100.0;200.0;0.0
Recreio dos Bandeirantes;2;1;1;66;1700.0;790.0;99.0
Pechincha;2;1;1;65;1500.0;440.0;35.0
Taquara;2;1;0;50;850.0;260.0;0.0
Barra da Tijuca;2;1;1;69;2300.0;960.0;0.0
Anil;2;1;0;50;1300.0;540.0;125.0
Vila Isabel;2;1;0;62;1100.0;617.0;21.0
Taquara;2;1;0;60;750.0;290.0;15.0
Copacabana;2;0;0;63;2200.0;452.0;128.0
São Francisco Xavier;2;1;0;48;950.0;491.0;36.0
Irajá;3;1;0;60;1250.0;490.0;0.0
Cachambi;2;0;0;59;1100.0;650.0;50.0
Barra da Tijuca;2;1;0;52;1100.0;620.0;0.0
Ramos;2;1;0;65;700.0;400.0;0.0
São Cristóvão;2;0;0;46;1100.0;395.0;15.0
Campo Grande;2;0;0;60;450.0;170.0;0.0
Curicica;3;1;0;60;1300.0;670.0;78.0
Bonsucesso;3;0;0;66;1000.0;150.0;0.0
Engenho de Dentro;2;0;0;65;950.0;480.0;0.0
Irajá;2;1;1;50;1000.0;442.0;0.0
Vaz Lobo;2;1;0;50;750.0;460.0;0.0
Cidade Nova;2;0;0;55;1200.0;400.0;13.0
Copacabana;2;1;0;48;1800.0;604.0;76.0
Curicica;2;1;0;55;800.0;350.0;16.0
Laranjeiras;2;0;0;59;2500.0;728.0;95.0
Freguesia (Jacarepaguá);2;1;0;67;2000.0;518.0;643.0
Flamengo;2;0;0;42;1700.0;535.0;24.0
Cordovil;2;0;0;65;1100.0;50.0;0.0
Barra da Tijuca;2;1;0;62;1500.0;700.0;100.0
Praça Seca;2;0;0;48;950.0;160.0;12.0
Copacabana;2;0;0;57;2200.0;760.0;77.0
Campo Grande;2;1;0;52;850.0;280.0;0.0
Gávea;2;0;0;63;2100.0;921.0;101.0
Flamengo;2;0;0;65;2500.0;420.0;800.0
Copacabana;2;0;0;65;2600.0;770.0;91.0
